id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.740772,1.386316,61.8373862169683,1741879.0
100039,11,11,0.644441,1.826133,19.330683849053457,460597.0
100099,6,6,0.580950,1.531769,45.10653445287608,1186518.0
10081,16,16,0.411452,2.333992,56.39962335978635,1632324.0
101027,12,12,0.397895,2.012932,36.86005071201362,1097414.0
101084,17,17,0.643450,2.217404,21.45355503098108,415677.0
102062,37,37,0.091151,3.836328,22.8335392549634,479627.0
103006,7,7,0.546798,2.267010,26.34354803105816,567611.0
103029,9,9,0.427290,2.263323,43.78010796988383,1137970.0
103078,13,13,0.460487,2.383241,27.07146047009155,743679.0
104010,13,13,0.340875,3.118776,17.17671025497839,414522.0
104055,16,16,0.322990,2.288456,36.480780732119456,1049107.0
105027,5,5,0.516081,2.187265,32.8736648359336,816365.0
106005,7,7,0.577207,1.755757,56.85688651795499,1106633.0
106047,4,4,0.464150,2.104151,32.71393526112661,674335.0
107014,19,19,0.256284,2.961209,26.94487470202148,677699.0
107045,13,13,0.409932,2.390682,23.40284178196453,692927.0
107072,19,19,0.226281,2.874611,21.14586852211505,528348.0
108004,5,5,0.360289,2.333193,17.293100979877636,412675.0
108036,14,14,0.257659,2.918478,25.84430893720128,634450.0
108069,3,3,0.485946,1.889550,28.25207948102616,476582.0
109055,3,3,0.508021,2.192582,36.25061348313466,668904.0
112056,4,4,0.714930,1.010565,54.03904482698999,1276713.0
112090,25,25,0.232508,3.181777,23.879986932035536,604963.0
117025,20,20,0.305645,2.364424,36.727198007982224,1095547.0
118015,37,37,0.228788,2.877553,46.1114305278752,1133190.0
118031,23,23,0.281831,2.897230,34.499301987932995,1019015.0
118072,15,15,0.250660,3.196466,32.960335770854726,985328.0
120003,29,29,0.394484,2.605472,52.96033220808022,1717372.0
120093,36,36,0.220909,2.926345,56.26792339980602,1865461.0
123057,15,15,0.356577,2.432196,27.01047438010573,741666.0
128035,43,43,0.280693,2.804601,40.65183130581863,1027672.0
130014,7,7,0.469123,2.155721,31.095277044922117,848720.0
130066,11,11,0.402402,2.200693,33.42745698289946,966452.0
134049,21,21,0.129683,3.382784,19.36142485192977,452907.0
134067,24,24,0.202976,3.182333,17.39734049816616,443016.0
140006,15,15,0.683064,1.975901,59.4048887968529,1765184.0
140088,22,22,0.258676,2.894251,66.83135933591984,2286773.0
14085,15,15,0.216847,2.902823,25.216087415115908,654750.0
14092,18,18,0.392678,2.863687,24.3020132270176,692884.0
141012,4,4,0.374875,2.482588,21.76963740796782,581397.0
141048,7,7,0.485665,2.179081,28.25084741110913,682897.0
145059,31,31,0.223374,2.932733,27.822426000144333,689776.0
145079,21,21,0.187508,2.952731,29.24982940591872,871366.0
146074,38,38,0.259348,2.957432,59.91494202800095,1789650.0
147077,21,21,0.294916,2.811542,25.966207255143672,632024.0
