id,k,eigs,ri,voi
100007,8,2,0.339911,2.207642
100007,8,3,0.556961,1.764948
100007,8,4,0.384904,2.028174
100007,8,5,0.672762,1.466936
100007,8,6,0.401546,2.051500
100007,8,7,0.375218,2.109458
100007,8,8,0.553356,1.789334
100039,11,2,0.293606,2.835410
100039,11,4,0.469486,2.233920
100039,11,6,0.336091,2.496711
100039,11,8,0.296002,2.548984
100039,11,10,0.279198,2.589549
100039,11,11,0.290916,2.567061
100099,6,2,0.257817,2.704237
100099,6,3,0.312763,2.383474
100099,6,4,0.557455,1.985556
100099,6,5,0.485746,2.201790
100099,6,6,0.580371,2.010107
10081,16,2,0.257843,3.195293
10081,16,4,0.395425,2.629671
10081,16,6,0.276999,2.709448
10081,16,8,0.222859,2.811895
10081,16,10,0.266108,2.717036
10081,16,12,0.231062,2.802459
10081,16,14,0.250871,2.705641
10081,16,16,0.225535,2.729948
101027,12,2,0.131905,3.661539
101027,12,4,0.271833,2.852074
101027,12,6,0.240353,2.637578
101027,12,8,0.238189,2.598838
101027,12,10,0.235016,2.553267
101027,12,12,0.188645,2.705442
101084,17,2,0.108649,4.094836
101084,17,4,0.168134,3.637101
101084,17,6,0.224035,3.235190
101084,17,8,0.248511,3.201603
101084,17,10,0.282134,3.063141
101084,17,12,0.299817,2.906935
101084,17,14,0.315371,2.849468
101084,17,16,0.331336,2.774842
101084,17,17,0.310183,2.795524
102062,37,2,0.024381,5.458340
102062,37,6,0.084914,4.084175
102062,37,10,0.096812,3.998361
102062,37,14,0.083501,4.055306
102062,37,18,0.079371,4.067087
102062,37,22,0.062685,4.206555
102062,37,26,0.064289,4.081472
102062,37,30,0.043802,4.187153
102062,37,34,0.035388,4.101388
102062,37,37,0.088108,4.125929
103006,7,2,0.372492,2.965239
103006,7,3,0.404628,2.825499
103006,7,4,0.215559,2.794640
103006,7,5,0.338243,2.856960
103006,7,6,0.381545,2.884509
103006,7,7,0.390667,2.882084
103029,9,2,0.321700,2.948700
103029,9,3,0.360988,2.790878
103029,9,4,0.392718,2.496829
103029,9,5,0.376460,2.558242
103029,9,6,0.353901,2.686108
103029,9,7,0.339174,2.798543
103029,9,8,0.341329,2.790195
103029,9,9,0.367862,2.648730
103078,13,2,0.276668,3.103641
103078,13,4,0.233666,3.244606
103078,13,6,0.175405,2.997681
103078,13,8,0.276885,2.660782
103078,13,10,0.228618,2.849972
103078,13,12,0.185333,3.121649
103078,13,13,0.179993,3.121857
104010,13,2,0.046755,4.109078
104010,13,4,0.071974,3.682976
104010,13,6,0.069528,3.680938
104010,13,8,0.097348,3.474545
104010,13,10,0.070951,3.518515
104010,13,12,0.081573,3.465972
104010,13,13,0.088881,3.463094
104055,16,2,0.157312,3.293425
104055,16,4,0.159068,3.235631
104055,16,6,0.151941,3.264466
104055,16,8,0.185171,2.887060
104055,16,10,0.193529,2.745542
104055,16,12,0.156684,2.916301
104055,16,14,0.163538,2.899425
104055,16,16,0.173316,2.878142
105027,5,2,0.322708,2.614207
105027,5,3,0.342265,2.627972
105027,5,4,0.311836,2.742964
105027,5,5,0.338380,2.681967
106005,7,2,0.376618,2.744383
106005,7,3,0.451168,2.401924
106005,7,4,0.478462,2.234815
106005,7,5,0.474010,2.137428
106005,7,6,0.458855,2.063628
106005,7,7,0.503791,2.010479
106047,4,2,0.409667,2.634365
106047,4,3,0.447855,2.377292
106047,4,4,0.452546,2.392412
107014,19,2,0.054324,5.109092
107014,19,4,0.155706,3.696046
107014,19,6,0.185533,3.385987
107014,19,8,0.210543,3.248281
107014,19,10,0.194640,3.328490
107014,19,12,0.199983,3.264302
107014,19,14,0.183390,3.322008
107014,19,16,0.201478,3.191468
107014,19,18,0.176703,3.283586
107014,19,19,0.180115,3.297640
107045,13,2,0.220473,3.127156
107045,13,4,0.183534,3.098429
107045,13,6,0.192887,3.067569
107045,13,8,0.196122,3.005136
107045,13,10,0.328083,2.862706
107045,13,12,0.173770,2.996184
107045,13,13,0.320235,2.850002
107072,19,2,0.060046,4.777724
107072,19,4,0.131031,3.758250
107072,19,6,0.157393,3.451092
107072,19,8,0.169856,3.238077
107072,19,10,0.160023,3.272061
107072,19,12,0.153912,3.343353
107072,19,14,0.148598,3.231861
107072,19,16,0.169721,3.151232
107072,19,18,0.158681,3.174257
107072,19,19,0.148401,3.211892
108004,5,2,0.295078,2.777883
108004,5,3,0.315462,2.590286
108004,5,4,0.292550,2.599287
108004,5,5,0.304483,2.544964
108036,14,2,0.087559,4.455618
108036,14,4,0.196969,3.415222
108036,14,6,0.236397,3.244691
108036,14,8,0.156231,3.342764
108036,14,10,0.162825,3.234249
108036,14,12,0.201820,3.143200
108036,14,14,0.286760,2.968610
108069,3,2,0.432063,2.258197
108069,3,3,0.608196,1.745975
109055,3,2,0.513696,2.349086
109055,3,3,0.587512,1.814293
112056,4,2,0.475754,2.073999
112056,4,3,0.460873,2.015625
112056,4,4,0.549725,1.926529
112090,25,2,0.078283,5.510606
112090,25,5,0.225688,3.624248
112090,25,8,0.254108,3.566979
112090,25,11,0.221713,3.534435
112090,25,14,0.235447,3.415716
112090,25,17,0.225669,3.362770
112090,25,20,0.205837,3.423635
112090,25,23,0.198035,3.375953
112090,25,25,0.183296,3.353476
117025,20,2,0.170378,3.557957
117025,20,4,0.192547,2.969215
117025,20,6,0.214985,2.902228
117025,20,8,0.242290,2.655560
117025,20,10,0.222490,2.767548
117025,20,12,0.241075,2.650805
117025,20,14,0.224918,2.735025
117025,20,16,0.190105,2.777815
117025,20,18,0.192720,2.762008
117025,20,20,0.194408,2.765009
118015,37,2,0.159114,4.608403
118015,37,6,0.199307,3.400696
118015,37,10,0.272287,3.077523
118015,37,14,0.351430,2.897429
118015,37,18,0.173408,3.296376
118015,37,22,0.168941,3.354672
118015,37,26,0.150295,3.338318
118015,37,30,0.140384,3.323633
118015,37,34,0.160791,3.233989
118015,37,37,0.137184,3.276789
118031,23,2,0.216082,3.894096
118031,23,5,0.236566,3.409104
118031,23,8,0.221693,3.397786
118031,23,11,0.255301,3.277401
118031,23,14,0.275129,3.036091
118031,23,17,0.213090,3.231756
118031,23,20,0.169180,3.375954
118031,23,23,0.157426,3.444337
118072,15,2,0.107518,4.028191
118072,15,4,0.187849,3.250628
118072,15,6,0.195920,3.166708
118072,15,8,0.229701,3.031590
118072,15,10,0.263851,3.108533
118072,15,12,0.191126,3.213655
118072,15,14,0.309379,2.937898
118072,15,15,0.237104,3.115972
120003,29,2,0.196928,4.223690
120003,29,5,0.296479,3.088745
120003,29,8,0.256872,3.249659
120003,29,11,0.316206,3.008030
120003,29,14,0.267326,2.995847
120003,29,17,0.293247,2.845162
120003,29,20,0.342552,2.721122
120003,29,23,0.252366,2.915545
120003,29,26,0.234336,2.932555
120003,29,29,0.270775,2.814530
120093,36,2,0.102338,4.682715
120093,36,6,0.153235,3.547985
120093,36,10,0.156161,3.503276
120093,36,14,0.183577,3.429751
120093,36,18,0.196032,3.210532
120093,36,22,0.228760,3.032111
120093,36,26,0.147404,3.286982
120093,36,30,0.144061,3.298159
120093,36,34,0.151292,3.246622
120093,36,36,0.132832,3.321085
123057,15,2,0.152165,4.081116
123057,15,4,0.336460,2.720540
123057,15,6,0.306631,2.810167
123057,15,8,0.344660,2.659503
123057,15,10,0.308266,2.780745
123057,15,12,0.238486,2.830262
123057,15,14,0.264340,2.850689
123057,15,15,0.247136,2.753857
128035,43,2,0.085369,5.613334
128035,43,7,0.219660,3.355251
128035,43,12,0.213447,3.270020
128035,43,17,0.242377,3.177798
128035,43,22,0.206915,3.177546
128035,43,27,0.192600,3.226163
128035,43,32,0.156537,3.340528
