id,k,eigs,ri,voi
100007,8,2,0.409913,1.965603
100007,8,3,0.440965,1.927942
100007,8,4,0.742587,1.412149
100007,8,5,0.794187,1.494303
100007,8,6,0.792799,1.514583
100007,8,7,0.464005,1.840934
100007,8,8,0.553713,1.702103
100039,11,2,0.278858,2.938820
100039,11,4,0.480433,2.084481
100039,11,6,0.432030,2.120634
100039,11,8,0.331287,2.468527
100039,11,10,0.324324,2.409007
100039,11,11,0.299282,2.436298
100099,6,2,0.271231,2.631916
100099,6,3,0.433868,1.736225
100099,6,4,0.398623,1.859619
100099,6,5,0.349402,2.067395
100099,6,6,0.545174,1.944388
10081,16,2,0.284301,3.019361
10081,16,4,0.354706,2.672915
10081,16,6,0.450975,2.284372
10081,16,8,0.450666,2.287976
10081,16,10,0.358558,2.312234
10081,16,12,0.323879,2.387693
10081,16,14,0.279516,2.486700
10081,16,16,0.310012,2.432260
101027,12,2,0.171591,3.347308
101027,12,4,0.299957,2.555066
101027,12,6,0.344053,2.259315
101027,12,8,0.310549,2.367043
101027,12,10,0.303611,2.281374
101027,12,12,0.305388,2.262282
101084,17,2,0.167540,3.911180
101084,17,4,0.283119,3.279747
101084,17,6,0.266567,3.041584
101084,17,8,0.344862,2.560544
101084,17,10,0.686269,2.288587
101084,17,12,0.646028,2.380329
101084,17,14,0.355233,2.599732
101084,17,16,0.476854,2.754406
101084,17,17,0.388347,2.462955
102062,37,2,0.035469,5.252526
102062,37,6,0.077562,4.208945
102062,37,10,0.087025,4.054850
102062,37,14,0.082707,3.926229
102062,37,18,0.083489,3.899337
102062,37,22,0.070652,3.888889
102062,37,26,0.063023,3.873657
102062,37,30,0.094338,3.925768
102062,37,34,0.118255,3.801908
102062,37,37,0.089961,3.898644
103006,7,2,0.373327,2.960313
103006,7,3,0.415032,2.733358
103006,7,4,0.412031,2.663105
103006,7,5,0.354032,2.800988
103006,7,6,0.338792,2.833682
103006,7,7,0.351092,2.708315
103029,9,2,0.291353,3.220146
103029,9,3,0.361121,2.666588
103029,9,4,0.406183,2.460052
103029,9,5,0.386074,2.544867
103029,9,6,0.377326,2.574758
103029,9,7,0.379541,2.545676
103029,9,8,0.413041,2.323125
103029,9,9,0.455533,2.138354
103078,13,2,0.280269,2.975527
103078,13,4,0.229772,3.058170
103078,13,6,0.310258,2.508703
103078,13,8,0.281602,2.484998
103078,13,10,0.306911,2.468736
103078,13,12,0.252883,2.828505
103078,13,13,0.306672,2.657099
104010,13,2,0.049099,4.131932
104010,13,4,0.061251,3.786072
104010,13,6,0.069010,3.693209
104010,13,8,0.096581,3.575031
104010,13,10,0.103692,3.393117
104010,13,12,0.349744,3.291593
104010,13,13,0.204492,3.352964
104055,16,2,0.180855,3.230678
104055,16,4,0.183881,3.051497
104055,16,6,0.218457,2.723261
104055,16,8,0.198518,2.802771
104055,16,10,0.212399,2.733516
104055,16,12,0.206638,2.702804
104055,16,14,0.174410,2.763510
104055,16,16,0.217793,2.674459
105027,5,2,0.317100,2.780493
105027,5,3,0.356283,2.571083
105027,5,4,0.347788,2.768425
105027,5,5,0.431987,2.198792
106005,7,2,0.405190,2.563056
106005,7,3,0.400583,2.523245
106005,7,4,0.543784,1.944962
106005,7,5,0.559490,1.793918
106005,7,6,0.491612,1.972933
106005,7,7,0.526501,1.949210
106047,4,2,0.412873,2.568814
106047,4,3,0.453379,2.388216
106047,4,4,0.496640,2.150789
107014,19,2,0.060594,5.068945
107014,19,4,0.169213,3.618851
107014,19,6,0.177506,3.449031
107014,19,8,0.228534,3.160983
107014,19,10,0.222713,3.180213
107014,19,12,0.223478,3.158518
107014,19,14,0.192597,3.263872
107014,19,16,0.202584,3.196082
107014,19,18,0.238607,3.049559
107014,19,19,0.230716,3.147134
107045,13,2,0.196974,3.217260
107045,13,4,0.169082,3.168049
107045,13,6,0.216493,2.855020
107045,13,8,0.286272,2.760570
107045,13,10,0.222767,2.786212
107045,13,12,0.325766,2.696904
107045,13,13,0.303024,2.805361
107072,19,2,0.075401,4.475081
107072,19,4,0.154645,3.429216
107072,19,6,0.162433,3.333926
107072,19,8,0.183029,3.148379
107072,19,10,0.162695,3.183855
107072,19,12,0.149834,3.284599
107072,19,14,0.172163,3.089504
107072,19,16,0.166150,3.108263
107072,19,18,0.185608,3.004810
107072,19,19,0.201960,2.940749
108004,5,2,0.302543,2.729278
108004,5,3,0.331701,2.469073
108004,5,4,0.368255,2.173545
108004,5,5,0.375837,2.289852
108036,14,2,0.137373,3.988000
108036,14,4,0.200159,3.355416
108036,14,6,0.222930,3.208378
108036,14,8,0.253731,3.174002
108036,14,10,0.311313,3.035728
108036,14,12,0.285663,2.892594
108036,14,14,0.249150,3.104058
108069,3,2,0.438742,2.228261
108069,3,3,0.605993,1.701869
