id,k,eigs,ri,voi
100007,8,8,0.747324,1.337494
100039,11,11,0.406547,2.135886
100099,6,6,0.582540,1.529088
10081,16,16,0.449619,1.979768
101027,12,12,0.260462,2.421835
101084,17,17,0.617996,2.365906
102062,37,37,0.095122,3.879630
103006,7,7,0.481579,2.559717
103029,9,9,0.448174,2.156846
103078,13,13,0.356614,2.464806
104010,13,13,0.380380,3.074535
104055,16,16,0.283240,2.438958
105027,5,5,0.516806,2.187804
106005,7,7,0.577492,1.754569
106047,4,4,0.462723,2.105953
107014,19,19,0.209428,3.273414
107045,13,13,0.370741,2.568149
107072,19,19,0.224368,2.848112
108004,5,5,0.361638,2.326094
108036,14,14,0.242832,2.987668
108069,3,3,0.487887,1.887996
109055,3,3,0.508014,2.193024
112056,4,4,0.715769,1.004286
112090,25,25,0.235395,3.142864
117025,20,20,0.298062,2.397464
118015,37,37,0.259942,2.804678
118031,23,23,0.333236,2.761179
118072,15,15,0.253946,3.061526
120003,29,29,0.329716,2.733221
120093,36,36,0.214253,2.996002
123057,15,15,0.338701,2.589759
128035,43,43,0.281506,2.808815
130014,7,7,0.432231,2.277109
130066,11,11,0.400052,2.209402
134049,21,21,0.138601,3.429508
134067,24,24,0.209015,3.213875
140006,15,15,0.687936,2.002502
140088,22,22,0.320688,2.809006
14085,15,15,0.137012,3.076009
14092,18,18,0.270168,3.247870
141012,4,4,0.377199,2.471980
141048,7,7,0.481239,2.191251
145059,31,31,0.307798,2.810853
145079,21,21,0.207713,2.988638
146074,38,38,0.386385,2.705974
147077,21,21,0.281132,2.910504
147080,28,28,0.290140,2.805008
15011,34,34,0.295927,2.809665
15062,16,16,0.412579,2.278589
156054,44,44,0.132782,3.556196
157032,12,12,0.299994,2.157987
157087,28,28,0.302629,2.787391
159002,19,19,0.252040,2.750258
159022,7,7,0.471297,2.157540
160006,18,18,0.335578,2.538967
16004,36,36,0.244593,2.919907
160067,7,7,0.625388,1.860767
16068,8,8,0.186742,2.774631
161045,9,9,0.511088,1.828987
163004,21,21,0.390967,2.500560
163096,16,16,0.466501,2.265121
164046,5,5,0.503821,1.627378
168084,14,14,0.300056,2.556324
17067,17,17,0.339491,2.764085
175083,8,8,0.452872,2.299584
176051,5,5,0.585798,1.488392
179084,19,19,0.411689,2.206345
181021,22,22,0.328741,3.078167
183066,8,8,0.390398,2.023060
185092,20,20,0.405412,2.206722
187058,22,22,0.250377,3.256522
187099,29,29,0.175159,3.412527
188025,42,42,0.202236,3.232108
189006,33,33,0.206056,2.960854
189013,23,23,0.252045,2.945925
189029,22,22,0.309976,2.666606
189096,25,25,0.314713,2.782803
196027,8,8,0.449829,2.418085
196040,56,56,0.158053,3.709294
196062,8,8,0.507177,2.026970
196088,11,11,0.289376,3.151561
198087,60,60,0.230861,3.056541
20069,15,15,0.347284,2.342806
201080,19,19,0.367528,2.238879
2018,14,14,0.313982,2.546409
202000,11,11,0.462356,1.773081
206062,25,25,0.311565,2.663659
206097,19,19,0.236575,2.964611
207038,18,18,0.336324,2.709224
207049,13,13,0.346989,2.527776
208078,12,12,0.308587,3.033977
209021,10,10,0.353087,2.681496
217013,18,18,0.290137,2.950605
217090,13,13,0.355772,2.521725
220003,33,33,0.086851,3.365155
223004,18,18,0.508412,2.433603
223060,15,15,0.292858,2.532127
225022,19,19,0.177992,2.767357
226022,28,28,0.348976,3.195777
226033,29,29,0.209518,2.765737
226043,61,61,0.055444,4.032844
226060,41,41,0.258615,2.963260
228076,22,22,0.322255,2.391516
230063,33,33,0.227187,3.081470
230098,18,18,0.338792,2.636700
23050,60,60,0.248422,3.015319
232076,6,6,0.570544,2.184057
235098,41,41,0.289265,2.699761
238025,8,8,0.696682,1.602226
243095,43,43,0.469767,2.671032
246009,7,7,0.351163,1.844033
247003,23,23,0.058842,3.506637
247012,12,12,0.186932,2.779919
249021,28,28,0.428343,2.848267
250047,11,11,0.472931,2.287092
250087,27,27,0.355013,2.511253
253016,38,38,0.182006,3.323056
253092,8,8,0.461879,2.359612
257098,15,15,0.273085,2.714585
258089,43,43,0.141503,3.439126
