id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.861640,1.068513,39.08990182401613,676806.0
100039,11,11,0.289984,2.580028,11.173909722128885,169338.0
100099,6,6,0.555251,1.924290,27.884145210962743,452832.0
10081,16,16,0.317615,2.407369,33.87166842003353,654335.0
101027,12,12,0.303070,2.180806,21.874019074020907,411694.0
101084,17,17,0.431888,2.400845,13.50734989810735,152165.0
102062,37,37,0.110577,3.780815,16.438482732977718,168962.0
103006,7,7,0.410867,2.758063,14.707788038998842,213372.0
103029,9,9,0.393685,2.480974,23.291836875025183,423693.0
103078,13,13,0.491405,2.393655,17.005519531900063,287230.0
104010,13,13,0.228577,3.198085,9.326160129159687,141018.0
104055,16,16,0.230322,2.571982,21.659979321062565,393558.0
105027,5,5,0.351634,2.479755,17.665800228947774,284503.0
106005,7,7,0.588060,1.773814,39.27791227702983,446941.0
106047,4,4,0.460587,2.089826,23.425584798911583,261437.0
107014,19,19,0.232297,3.154068,14.910989170894029,236615.0
107045,13,13,0.350759,2.703169,13.6814695938956,264239.0
107072,19,19,0.221534,2.880606,12.342071704100816,184108.0
108004,5,5,0.366913,2.304271,9.314317282056436,131222.0
108036,14,14,0.263004,2.829776,13.60783168906346,230611.0
108069,3,3,0.494547,1.895881,13.195169986924157,171741.0
109055,3,3,0.489963,2.150723,21.76420248998329,244328.0
112056,4,4,0.711150,1.032834,34.751408169046044,478736.0
112090,25,25,0.213681,3.215237,14.795391822000964,216791.0
117025,20,20,0.309085,2.330296,21.1294398419559,417684.0
118015,37,37,0.202052,2.988481,23.680943571962416,458406.0
118031,23,23,0.242423,3.088663,22.98098872601986,405526.0
118072,15,15,0.269239,3.039460,20.49514269409701,384665.0
120003,29,29,0.266012,2.926382,33.87221994716674,710191.0
120093,36,36,0.206119,2.968949,35.04053429607302,766128.0
123057,15,15,0.368148,2.378755,15.817582421004772,277630.0
128035,43,43,0.237064,2.894046,25.80539224902168,410272.0
130014,7,7,0.434425,2.271079,18.70885583292693,320066.0
130066,11,11,0.386292,2.239543,20.13474716595374,378775.0
134049,21,21,0.120601,3.390583,11.527361263986675,166632.0
134067,24,24,0.144707,3.273234,11.067772181937473,163215.0
140006,15,15,0.706093,1.852970,34.609574483009055,714023.0
140088,22,22,0.348696,2.726717,39.83872988913208,923257.0
14085,15,15,0.102603,3.172905,14.313775673974304,248412.0
14092,18,18,0.274997,3.178014,14.492097401060164,260232.0
141012,4,4,0.387811,2.387427,12.625753249041736,221740.0
141048,7,7,0.495224,2.466910,16.180903905071318,250348.0
145059,31,31,0.266793,2.840205,20.682484325021505,281883.0
145079,21,21,0.216924,2.925715,17.986123566050082,333160.0
146074,38,38,0.431422,2.508940,37.69568425812759,727073.0
147077,21,21,0.269525,2.775255,17.27974421111867,231344.0
