id,k,eigs,ri,voi
100007,8,8,0.473612,1.716935
100039,11,11,0.413126,2.270706
100099,6,6,0.549233,1.981639
10081,16,16,0.254460,2.696445
101027,12,12,0.241602,2.516863
101084,17,17,0.382123,2.616595
102062,37,37,0.056444,4.081182
103006,7,7,0.375850,2.822184
103029,9,9,0.356916,2.691696
103078,13,13,0.222446,2.943196
104010,13,13,0.094236,3.427609
104055,16,16,0.172736,2.841110
105027,5,5,0.339510,2.690428
106005,7,7,0.442761,2.140558
106047,4,4,0.462118,2.405630
107014,19,19,0.191190,3.226168
107045,13,13,0.329345,2.792571
107072,19,19,0.183848,3.093032
108004,5,5,0.317938,2.582730
108036,14,14,0.200151,3.159839
108069,3,3,0.567090,1.867091
109055,3,3,0.544841,1.838131
112056,4,4,0.492674,1.884331
112090,25,25,0.249862,3.102351
117025,20,20,0.255954,2.564177
118015,37,37,0.172638,3.193772
118031,23,23,0.188985,3.292406
118072,15,15,0.208521,3.054934
120003,29,29,0.257041,2.906252
120093,36,36,0.150801,3.235534
123057,15,15,0.322477,2.685909
128035,43,43,0.138909,3.330277
130014,7,7,0.354201,2.577457
130066,11,11,0.358150,2.327539
134049,21,21,0.164709,3.315637
134067,24,24,0.132041,3.529500
140006,15,15,0.458525,2.149296
140088,22,22,0.274867,2.868259
14085,15,15,0.090975,3.190774
14092,18,18,0.134864,3.072114
141012,4,4,0.448690,2.258766
141048,7,7,0.513971,2.413035
145059,31,31,0.195860,3.190018
145079,21,21,0.164389,3.191618
146074,38,38,0.305981,2.802349
147077,21,21,0.213353,3.078023
147080,28,28,0.221152,3.121389
15011,34,34,0.183388,3.259429
15062,16,16,0.271787,2.637185
156054,44,44,0.096021,3.983015
157032,12,12,0.246621,2.612340
157087,28,28,0.187343,3.057287
159002,19,19,0.142833,3.183561
159022,7,7,0.484621,2.183555
160006,18,18,0.208815,3.056050
16004,36,36,0.220232,3.258701
160067,7,7,0.533014,2.303511
16068,8,8,0.267747,2.542087
161045,9,9,0.411202,1.867151
163004,21,21,0.187760,3.204846
163096,16,16,0.250412,2.714720
164046,5,5,0.428254,2.208101
168084,14,14,0.268092,2.622617
17067,17,17,0.421465,2.465931
175083,8,8,0.403183,2.791472
176051,5,5,0.493277,1.875310
179084,19,19,0.311273,2.592366
181021,22,22,0.285713,3.695973
183066,8,8,0.476741,2.346115
185092,20,20,0.237605,2.798764
187058,22,22,0.078262,3.701567
187099,29,29,0.142781,3.700055
188025,42,42,0.139839,3.481661
189006,33,33,0.162896,3.209649
189013,23,23,0.213954,2.940171
189029,22,22,0.260713,2.771983
189096,25,25,0.136114,3.418431
196027,8,8,0.412742,2.607874
196040,56,56,0.120100,3.970628
196062,8,8,0.363717,2.758847
196088,11,11,0.403401,3.274942
198087,60,60,0.159435,3.400521
20069,15,15,0.177619,2.962227
201080,19,19,0.263133,2.609623
2018,14,14,0.320112,2.475014
202000,11,11,0.361312,2.130806
206062,25,25,0.217536,3.013703
206097,19,19,0.152834,3.195699
207038,18,18,0.246794,3.290599
