id,k,eigs,ri,voi
100007,8,8,0.228883,2.729371
100039,11,11,0.301002,2.688014
100099,6,6,0.323789,2.452278
10081,16,16,0.222525,2.952956
101027,12,12,0.201829,3.033741
101084,17,17,0.140773,3.601733
102062,37,37,0.051886,4.401971
103006,7,7,0.215733,2.896431
103029,9,9,0.315484,2.929579
103078,13,13,0.171504,3.307582
104010,13,13,0.070920,3.652372
104055,16,16,0.144858,3.241501
105027,5,5,0.313046,2.688949
106005,7,7,0.361233,2.600491
106047,4,4,0.470461,2.420447
107014,19,19,0.178316,3.459766
107045,13,13,0.160112,3.378551
107072,19,19,0.127423,3.589794
108004,5,5,0.287540,2.692342
108036,14,14,0.148481,3.606531
108069,3,3,0.503853,2.128126
109055,3,3,0.488740,2.241724
112056,4,4,0.420952,2.679445
112090,25,25,0.197359,3.684345
117025,20,20,0.164865,3.221507
118015,37,37,0.126235,3.748405
118031,23,23,0.199389,3.451912
118072,15,15,0.183560,3.224386
120003,29,29,0.228984,3.361750
120093,36,36,0.106036,3.867505
123057,15,15,0.262541,3.154182
128035,43,43,0.197249,3.435942
130014,7,7,0.290284,2.913845
130066,11,11,0.292120,2.858740
134049,21,21,0.190139,3.472721
134067,24,24,0.181096,3.685976
140006,15,15,0.319789,2.658677
140088,22,22,0.236230,3.118741
14085,15,15,0.123674,3.323213
14092,18,18,0.051985,3.672808
141012,4,4,0.442471,2.350514
141048,7,7,0.357699,3.194082
145059,31,31,0.235367,3.319118
145079,21,21,0.174054,3.552443
146074,38,38,0.261887,3.299970
147077,21,21,0.262226,3.139728
147080,28,28,0.251431,3.172145
15011,34,34,0.202818,3.398276
15062,16,16,0.255310,3.031928
156054,44,44,0.064409,4.385960
157032,12,12,0.147487,3.207767
157087,28,28,0.250064,3.271442
159002,19,19,0.178491,3.329158
159022,7,7,0.386066,3.020489
160006,18,18,0.229556,3.116665
16004,36,36,0.280239,3.139390
160067,7,7,0.136059,3.008224
16068,8,8,0.237645,2.736757
161045,9,9,0.223282,2.742732
163004,21,21,0.222408,3.320116
163096,16,16,0.196688,3.170937
164046,5,5,0.408121,2.525242
168084,14,14,0.279450,2.843307
17067,17,17,0.336714,2.752775
175083,8,8,0.084482,3.556851
176051,5,5,0.425328,2.622002
179084,19,19,0.220410,3.172416
181021,22,22,0.070895,4.170275
183066,8,8,0.275598,2.773315
185092,20,20,0.168758,3.232404
187058,22,22,0.122665,3.683724
187099,29,29,0.127483,3.970492
188025,42,42,0.107989,4.016528
189006,33,33,0.166634,3.544627
189013,23,23,0.172534,3.428580
189029,22,22,0.229230,3.119555
189096,25,25,0.231432,3.270167
196027,8,8,0.346312,3.444023
196040,56,56,0.128876,3.961588
196062,8,8,0.298306,3.291026
196088,11,11,0.129304,3.338856
198087,60,60,0.147137,3.624132
20069,15,15,0.203223,3.231833
201080,19,19,0.140565,3.332368
2018,14,14,0.282626,2.934131
202000,11,11,0.219877,2.918409
206062,25,25,0.188548,3.493428
206097,19,19,0.144474,3.425556
207038,18,18,0.247254,3.083964
207049,13,13,0.231535,3.164636
208078,12,12,0.092614,3.661621
209021,10,10,0.231531,3.387499
217013,18,18,0.197563,3.732200
217090,13,13,0.243224,3.163910
220003,33,33,0.061504,4.177866
223004,18,18,0.189812,3.298688
223060,15,15,0.223367,3.033010
225022,19,19,0.068704,3.767731
226022,28,28,0.081209,4.058375
226033,29,29,0.069689,4.205063
226043,61,61,0.091291,4.206137
226060,41,41,0.182387,3.526905
228076,22,22,0.094151,3.829699
230063,33,33,0.150431,3.796026
230098,18,18,0.243110,3.211490
23050,60,60,0.238050,3.493877
232076,6,6,0.191412,2.784426
235098,41,41,0.142393,3.630275
238025,8,8,0.314073,2.495469
243095,43,43,0.177900,3.430158
246009,7,7,0.224360,2.853054
247003,23,23,0.040901,4.158900
247012,12,12,0.118898,3.508151
249021,28,28,0.119529,3.799868
250047,11,11,0.336469,3.203355
250087,27,27,0.225379,3.074995
253016,38,38,0.184873,3.612822
253092,8,8,0.339818,3.069934
257098,15,15,0.125848,3.481005
258089,43,43,0.164647,3.660682
259060,20,20,0.304891,3.002382
267036,27,27,0.243416,3.237819
268048,20,20,0.127421,3.611475
268074,14,14,0.101243,3.536038
277053,32,32,0.085838,4.052380
279005,13,13,0.351581,2.512299
28083,18,18,0.168121,3.358370
281017,22,22,0.163128,3.312612
285022,12,12,0.215548,3.018030
288024,40,40,0.155441,3.870172
289011,24,24,0.172428,3.478332
