id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.391334,1.849393,6.713541809935123,473943.0
100039,11,11,0.524269,1.810222,5.551518260966986,484777.0
100099,6,6,0.451570,1.802351,7.069819553056732,472699.0
10081,16,16,0.313394,2.525241,6.768066090065986,473184.0
101027,12,12,0.269021,2.419584,5.676973513094708,481481.0
101084,17,17,0.357052,2.366016,6.24879989400506,483400.0
102062,37,37,0.078314,4.126514,7.635210779961199,491382.0
103006,7,7,0.469118,2.522083,5.745316266082227,483149.0
103029,9,9,0.431066,2.288545,6.352686366997659,476985.0
103078,13,13,0.363555,2.340191,5.970540428068489,480147.0
104010,13,13,0.120844,3.339744,5.3398634609766304,485931.0
104055,16,16,0.214941,2.609601,6.313829354010522,477693.0
105027,5,5,0.307477,2.772614,5.818585470085964,479498.0
106005,7,7,0.526414,1.784212,7.236336236819625,472463.0
106047,4,4,0.438023,2.413059,6.770250491099432,478812.0
107014,19,19,0.233940,3.096363,6.4391643279232085,485725.0
107045,13,13,0.241598,2.787787,5.693599121877924,481065.0
107072,19,19,0.213854,3.052396,6.385405051987618,487533.0
108004,5,5,0.327633,2.464937,5.210751890903339,488166.0
108036,14,14,0.202926,3.291220,5.61565862596035,481055.0
108069,3,3,0.489848,1.969992,6.037269522901624,484195.0
109055,3,3,0.536308,1.914277,6.206069858977571,480828.0
112056,4,4,0.472624,2.022628,7.741003249073401,473434.0
112090,25,25,0.302018,3.057846,7.189641942968592,488066.0
117025,20,20,0.265075,2.588617,6.306663020979613,474626.0
118015,37,37,0.156192,3.406766,8.425077575957403,471907.0
118031,23,23,0.296100,3.020006,6.952715933090076,479447.0
118072,15,15,0.230003,3.010141,6.357136267004535,479819.0
120003,29,29,0.282074,2.860819,8.484661224065349,473848.0
120093,36,36,0.110671,3.672767,8.041923125041649,473379.0
123057,15,15,0.321346,2.706608,6.242152445018292,480299.0
128035,43,43,0.271669,2.910395,10.26115806098096,485409.0
130014,7,7,0.421744,2.303749,5.765872478019446,478673.0
130066,11,11,0.347686,2.622642,6.853756804950535,469300.0
134049,21,21,0.290670,2.916817,11.26164097012952,488582.0
134067,24,24,0.279395,3.070599,6.354621540987864,486425.0
140006,15,15,0.260462,2.712854,6.11315959203057,473887.0
140088,22,22,0.260776,2.966610,7.4902282590046525,474837.0
14085,15,15,0.164815,2.968022,5.823935812106356,479414.0
14092,18,18,0.246303,3.045610,6.4929937911219895,473354.0
141012,4,4,0.433923,2.270296,5.112009115051478,484890.0
141048,7,7,0.486810,2.466360,5.689551837043837,486984.0
145059,31,31,0.376506,2.863209,8.31842028698884,484585.0
145079,21,21,0.290015,2.860397,6.368142311926931,488114.0
146074,38,38,0.256555,3.208312,8.962699826108292,481519.0
147077,21,21,0.354144,2.698752,6.907167237019166,490137.0
147080,28,28,0.360560,2.875685,7.90540862409398,487480.0
15011,34,34,0.254072,2.990182,8.482741944026202,486864.0
15062,16,16,0.504298,2.082421,6.239420918980613,484671.0
156054,44,44,0.092485,4.007283,9.029514824971557,475118.0
157032,12,12,0.177021,2.814658,6.307850362965837,475748.0
157087,28,28,0.367428,2.642322,8.239561801077798,488742.0
159002,19,19,0.202052,2.940739,6.543101812014356,474561.0
159022,7,7,0.383812,2.595200,6.316379693103954,455563.0
160006,18,18,0.252004,2.817453,6.961568571859971,472814.0
16004,36,36,0.324466,2.884963,8.642661124933511,485882.0
160067,7,7,0.432452,2.501106,7.188274678075686,470331.0
16068,8,8,0.305078,2.503870,5.481828789925203,479730.0
161045,9,9,0.170948,2.781174,6.567333712941036,461829.0
163004,21,21,0.400189,2.625290,6.990505474852398,487070.0
163096,16,16,0.327734,2.558288,6.263605111045763,478258.0
164046,5,5,0.429776,2.048232,5.839015527162701,475952.0
168084,14,14,0.332772,2.491381,6.173740945989266,472797.0
17067,17,17,0.417471,2.563281,6.018694993108511,471937.0
175083,8,8,0.276412,2.487295,5.730389612028375,496709.0
176051,5,5,0.497997,2.070186,8.258736153831705,470311.0
179084,19,19,0.282698,2.660011,7.186022265115753,468964.0
181021,22,22,0.078329,3.741677,8.346988965990022,482302.0
183066,8,8,0.377363,2.285794,6.183123705908656,478048.0
185092,20,20,0.155695,3.111634,7.367002856917679,465696.0
187058,22,22,0.163047,3.339290,6.41848001210019,491545.0
187099,29,29,0.181991,3.691923,6.946669762022793,481914.0
188025,42,42,0.187382,3.435220,9.778731615981089,482805.0
189006,33,33,0.273148,2.715195,7.967564158141613,479368.0
189013,23,23,0.186752,3.068238,7.509631576016545,472082.0
189029,22,22,0.265409,2.832135,7.472590842982754,472051.0
189096,25,25,0.318164,2.905268,8.009196279104799,490877.0
196027,8,8,0.386354,2.722455,6.586952158017084,457219.0
196040,56,56,0.182767,3.663145,9.79779240791686,478086.0
196062,8,8,0.479910,2.181050,6.513506158953533,478801.0
196088,11,11,0.158344,3.035241,5.575692052952945,483931.0
198087,60,60,0.162203,3.418673,12.399246325949209,470586.0
20069,15,15,0.311062,2.493743,8.32317110686563,479643.0
201080,19,19,0.201193,2.851633,6.820661278208718,471195.0
2018,14,14,0.276135,2.650679,5.999756610952318,474206.0
202000,11,11,0.312054,2.407904,6.2499083508737385,474252.0
206062,25,25,0.259483,2.826235,9.519739683018996,475984.0
206097,19,19,0.220422,2.915876,6.8425931059755385,478267.0
207038,18,18,0.414238,2.608500,6.6041393680498,481432.0
207049,13,13,0.308093,2.809500,5.753478501923382,479213.0
208078,12,12,0.196061,3.492990,6.852938773110509,476633.0
209021,10,10,0.314525,2.949523,7.942572418833151,478108.0
217013,18,18,0.156000,3.261213,8.008062522858381,476426.0
217090,13,13,0.320838,2.808632,6.5729612479917705,488109.0
220003,33,33,0.121502,3.586089,8.751696188002825,492417.0
223004,18,18,0.166556,3.185615,7.0237618731334805,470130.0
223060,15,15,0.359088,2.479484,6.110351664014161,479909.0
225022,19,19,0.113899,3.205534,6.72001919709146,476775.0
226022,28,28,0.057051,4.137684,7.69062650995329,483722.0
226033,29,29,0.182807,3.285619,7.641484698047861,489289.0
226043,61,61,0.104540,4.197851,13.068241283064708,490791.0
226060,41,41,0.236051,3.152325,9.775533964158967,485576.0
228076,22,22,0.149087,3.184935,7.69583214004524,469671.0
230063,33,33,0.187842,3.476465,9.274862335063515,481485.0
230098,18,18,0.320200,2.782295,6.692666396033019,483151.0
23050,60,60,0.332165,3.079412,11.916088815080002,493004.0
232076,6,6,0.287260,2.424975,6.433712411904708,471155.0
235098,41,41,0.182809,3.303987,8.850221374072134,479281.0
238025,8,8,0.362379,1.990098,5.82936592400074,476018.0
243095,43,43,0.167931,3.448430,11.347436973126603,468575.0
246009,7,7,0.267527,2.213089,7.175523785874248,471892.0
247003,23,23,0.088207,3.584081,7.762453400995582,478858.0
247012,12,12,0.210337,2.950955,6.924974579131231,485730.0
249021,28,28,0.178109,3.428694,7.646719167940319,477123.0
250047,11,11,0.361226,2.846610,8.118520430056378,483893.0
250087,27,27,0.308495,2.538168,8.161800212226808,470248.0
253016,38,38,0.257227,3.188898,8.561686927918345,484086.0
253092,8,8,0.348657,3.166175,6.369178313063458,478636.0
257098,15,15,0.226843,3.152676,7.158099457854405,476731.0
258089,43,43,0.199818,3.360478,9.253550944151357,488101.0
259060,20,20,0.431770,2.543209,6.891752538038418,491057.0
267036,27,27,0.380413,2.917084,7.324127085972577,476361.0
268048,20,20,0.270972,2.944380,6.960778525099158,485541.0
268074,14,14,0.224699,3.153698,6.239362633088604,488157.0
277053,32,32,0.122827,3.628805,7.487073127180338,488694.0
279005,13,13,0.426344,2.086438,6.531856118002906,465504.0
28083,18,18,0.236445,2.672533,7.109885553829372,483970.0
281017,22,22,0.209308,3.045943,7.283986981026828,478016.0
285022,12,12,0.232116,2.522620,6.494149232981727,459006.0
288024,40,40,0.151281,3.890959,12.54936150391586,470768.0
289011,24,24,0.211895,3.332496,9.50104914791882,477794.0
290035,37,37,0.149881,3.374229,8.371488113887608,487799.0
29030,21,21,0.105283,3.515923,7.3213188198860735,483105.0
296028,12,12,0.358776,2.237228,6.423457057913765,472622.0
296058,22,22,0.365717,2.700708,6.3270765140187,479929.0
302022,11,11,0.745777,1.508933,6.596576767973602,477236.0
306051,13,13,0.342748,2.403868,5.928809963865206,487452.0
306052,5,5,0.560609,1.878649,6.5004048810806125,490439.0
3063,6,6,0.405129,2.009506,7.15229328116402,479918.0
309040,47,47,0.296390,3.059389,10.18464730703272,488998.0
317043,11,11,0.305737,3.290205,5.378038111841306,485836.0
326025,8,8,0.258942,2.703465,6.011405554832891,488625.0
326085,10,10,0.300506,2.419224,5.885420063044876,481095.0
33044,8,8,0.315562,2.628585,5.422582077095285,470483.0
334025,9,9,0.517019,1.905547,6.531981666106731,465566.0
335088,27,27,0.198381,3.768664,6.998245713999495,478868.0
335094,21,21,0.311507,2.903193,6.744862001156434,469662.0
344010,20,20,0.345245,2.406754,6.81610808102414,485294.0
346016,12,12,0.270627,2.560895,5.625754140084609,474213.0
347031,12,12,0.366414,2.444240,7.177660798886791,464182.0
35028,14,14,0.295186,2.635907,5.879972754977644,471754.0
35049,11,11,0.326209,3.001258,6.061550057958812,462431.0
36046,12,12,0.330005,2.309798,6.199052484007552,480231.0
365072,19,19,0.400656,2.455067,6.495515358867124,483987.0
368037,30,30,0.372787,2.616111,9.034343092003835,482182.0
372019,13,13,0.375761,2.028211,6.30189593997784,470823.0
376086,15,15,0.466688,2.230678,6.432464639190584,487680.0
384022,9,9,0.601360,1.325439,6.137719937833026,481323.0
384089,23,23,0.272153,2.831123,7.204864060040563,470539.0
