id,k,eigs,ri,voi
100007,8,8,0.371389,1.929269
100039,11,11,0.487568,2.000022
100099,6,6,0.563954,1.527269
10081,16,16,0.279869,2.617093
101027,12,12,0.239570,2.562173
101084,17,17,0.389948,2.305987
102062,37,37,0.089698,4.103899
103006,7,7,0.475180,2.546470
103029,9,9,0.433515,2.298433
103078,13,13,0.512404,2.237115
104010,13,13,0.125999,3.310675
104055,16,16,0.225568,2.563263
105027,5,5,0.308233,2.791702
106005,7,7,0.521831,1.880499
106047,4,4,0.444492,2.398070
107014,19,19,0.234327,3.136137
107045,13,13,0.234602,2.822419
107072,19,19,0.236478,2.969547
108004,5,5,0.334386,2.476846
108036,14,14,0.204021,3.351280
108069,3,3,0.489938,1.977550
109055,3,3,0.536123,1.927616
112056,4,4,0.473015,2.016067
112090,25,25,0.259650,3.200279
117025,20,20,0.339260,2.286496
118015,37,37,0.124661,3.566013
118031,23,23,0.284704,3.067068
118072,15,15,0.221954,3.057845
120003,29,29,0.289900,2.851282
120093,36,36,0.125527,3.635355
123057,15,15,0.364797,2.543457
128035,43,43,0.258374,3.007593
130014,7,7,0.426821,2.300376
130066,11,11,0.319964,2.514432
134049,21,21,0.267697,3.015114
134067,24,24,0.272455,3.213995
140006,15,15,0.227246,2.972716
140088,22,22,0.224008,3.204641
14085,15,15,0.165792,2.965169
14092,18,18,0.247149,2.990893
141012,4,4,0.434050,2.271501
141048,7,7,0.459998,2.516621
145059,31,31,0.323211,2.951415
145079,21,21,0.283673,2.904694
146074,38,38,0.266589,3.173029
147077,21,21,0.346398,2.836021
147080,28,28,0.379421,2.773962
15011,34,34,0.245278,3.062522
15062,16,16,0.486752,2.082969
156054,44,44,0.082347,4.119781
157032,12,12,0.141152,2.940405
157087,28,28,0.367628,2.746062
159002,19,19,0.201005,2.948688
159022,7,7,0.399980,2.549534
160006,18,18,0.267437,2.740905
16004,36,36,0.336620,2.852761
160067,7,7,0.451277,2.432232
16068,8,8,0.250346,2.658131
161045,9,9,0.161320,2.642377
163004,21,21,0.326304,2.807393
163096,16,16,0.295046,2.730630
164046,5,5,0.435200,2.034482
168084,14,14,0.374451,2.438912
17067,17,17,0.386725,2.640065
175083,8,8,0.267662,2.575921
176051,5,5,0.334266,2.286730
179084,19,19,0.283824,2.674960
181021,22,22,0.072265,3.789439
183066,8,8,0.376424,2.328451
185092,20,20,0.150444,3.155963
187058,22,22,0.120392,3.522719
187099,29,29,0.161775,3.813734
188025,42,42,0.155030,3.508635
189006,33,33,0.270995,2.749837
189013,23,23,0.188963,3.106589
189029,22,22,0.252712,2.878211
189096,25,25,0.335829,2.841158
196027,8,8,0.384133,2.761188
196040,56,56,0.164509,3.736983
196062,8,8,0.450119,2.146962
196088,11,11,0.185879,3.036690
198087,60,60,0.159914,3.446917
20069,15,15,0.286499,2.698631
201080,19,19,0.163898,2.988795
2018,14,14,0.329975,2.573375
202000,11,11,0.309404,2.457684
206062,25,25,0.263916,2.835875
206097,19,19,0.219346,2.868443
207038,18,18,0.343977,2.772357
207049,13,13,0.256646,2.989946
208078,12,12,0.195209,3.404077
209021,10,10,0.276180,3.003731
217013,18,18,0.147490,3.327966
217090,13,13,0.302129,2.947422
220003,33,33,0.116314,3.637725
223004,18,18,0.165623,3.356500
223060,15,15,0.341763,2.529782
225022,19,19,0.116180,3.168661
226022,28,28,0.074145,4.132129
226033,29,29,0.174532,3.337678
226043,61,61,0.095861,4.285076
226060,41,41,0.233664,3.197659
228076,22,22,0.139655,3.184693
230063,33,33,0.187374,3.429699
230098,18,18,0.315752,2.809907
23050,60,60,0.319218,3.181627
232076,6,6,0.293297,2.466061
235098,41,41,0.204326,3.271749
238025,8,8,0.343606,2.020579
243095,43,43,0.171187,3.428769
246009,7,7,0.292262,2.122627
247003,23,23,0.071955,3.735687
247012,12,12,0.236459,2.857225
249021,28,28,0.164884,3.515068
250047,11,11,0.359029,2.811887
250087,27,27,0.377184,2.475573
253016,38,38,0.225923,3.352891
253092,8,8,0.359527,3.076572
257098,15,15,0.148455,3.308222
258089,43,43,0.186944,3.481452
259060,20,20,0.377001,2.768014
267036,27,27,0.282408,3.051736
268048,20,20,0.259955,3.000568
268074,14,14,0.213914,3.283969
277053,32,32,0.139053,3.592015
279005,13,13,0.525859,1.800903
28083,18,18,0.283978,2.538158
281017,22,22,0.201752,3.164524
285022,12,12,0.274625,2.512717
288024,40,40,0.141343,3.926477
289011,24,24,0.230624,3.258590
290035,37,37,0.162317,3.236490
29030,21,21,0.114182,3.493136
296028,12,12,0.400321,2.147426
296058,22,22,0.342975,2.844048
302022,11,11,0.752405,1.509935
306051,13,13,0.348232,2.392956
306052,5,5,0.558817,1.932082
3063,6,6,0.404692,2.023473
309040,47,47,0.273974,3.152414
317043,11,11,0.174359,3.516885
326025,8,8,0.447870,2.724626
326085,10,10,0.310064,2.419562
33044,8,8,0.350561,2.488491
334025,9,9,0.525584,1.823144
335088,27,27,0.193029,3.870340
335094,21,21,0.306413,2.946699
344010,20,20,0.356053,2.443900
346016,12,12,0.245261,2.893654
347031,12,12,0.425602,2.312418
35028,14,14,0.317548,2.542345
35049,11,11,0.158307,2.917214
36046,12,12,0.325162,2.308364
365072,19,19,0.342251,2.639980
368037,30,30,0.374118,2.629550
372019,13,13,0.325310,2.237434
376086,15,15,0.406629,2.455047
384022,9,9,0.492480,1.748049
384089,23,23,0.283731,2.832992
385022,17,17,0.287472,2.780989
388006,14,14,0.477880,1.766247
388018,39,39,0.368808,2.695400
388067,56,56,0.355090,2.580821
393035,28,28,0.176470,3.362288
41006,6,6,0.547020,1.842458
41029,10,10,0.261008,2.700171
41085,13,13,0.266609,2.834868
41096,3,3,0.502653,1.624868
43033,4,4,0.451859,2.164483
43051,2,2,0.601918,1.667484
45000,39,39,0.211556,3.430117
48017,10,10,0.303788,2.515643
48025,26,26,0.111242,3.678516
49024,6,6,0.546014,1.677181
5096,19,19,0.406887,2.456000
51084,35,35,0.407398,2.516659
6046,23,23,0.300156,3.043454
61034,27,27,0.153502,3.429090
64061,17,17,0.231644,3.008062
65084,33,33,0.281541,2.854619
69000,9,9,0.316698,2.512765
69007,20,20,0.172015,3.167331
69022,3,3,0.530245,2.185045
70011,4,4,0.383198,2.387804
70090,6,6,0.515964,2.467818
71076,29,29,0.150736,3.330276
71099,28,28,0.264273,2.985159
77062,11,11,0.279584,3.213196
78098,21,21,0.231550,3.332695
79073,16,16,0.254958,3.171047
80085,23,23,0.169226,2.785582
80090,15,15,0.152392,3.092348
8068,9,9,0.322799,2.076699
81066,24,24,0.253333,2.784478
81090,58,58,0.174684,3.786720
81095,25,25,0.177695,3.199641
87015,6,6,0.368960,2.483847
92014,46,46,0.149437,3.657512
94095,24,24,0.162062,3.706777
97010,19,19,0.502648,2.192971
