id,k,eigs,ri,voi,duration,graphSize
100007,8,8,0.343694,1.964362,0,0
100039,11,11,0.359881,2.165872,0,0
100099,6,6,0.478532,1.839360,0,0
10081,16,16,0.208479,3.020934,0,0
101027,12,12,0.263433,2.380469,0,0
101084,17,17,0.283753,2.408829,0,0
102062,37,37,0.093551,3.884579,0,0
103006,7,7,0.352532,2.274152,0,0
103029,9,9,0.204984,2.732562,0,0
103078,13,13,0.206579,3.050189,0,0
104010,13,13,0.095761,3.460832,0,0
104055,16,16,0.189798,2.680493,0,0
105027,5,5,-0.006321,2.802233,0,0
106005,7,7,0.241963,2.229871,0,0
106047,4,4,-0.012083,2.386789,0,0
107014,19,19,0.219086,3.197139,0,0
107045,13,13,0.213510,2.887390,0,0
107072,19,19,0.198323,3.035845,0,0
108004,5,5,0.063989,2.403019,0,0
108036,14,14,0.210369,3.053868,0,0
108069,3,3,0.105644,1.981593,0,0
109055,3,3,0.206261,1.752108,0,0
112056,4,4,0.121337,2.443727,0,0
112090,25,25,0.280397,2.945323,0,0
117025,20,20,0.264791,2.489144,0,0
118015,37,37,0.153105,3.416437,0,0
118031,23,23,0.337834,2.737666,0,0
118072,15,15,0.298851,2.742845,0,0
120003,29,29,0.261562,2.950314,0,0
120093,36,36,0.120598,3.467998,0,0
123057,15,15,0.368598,2.502085,0,0
128035,43,43,0.245304,2.978059,0,0
130014,7,7,0.200150,2.608476,0,0
130066,11,11,0.293904,2.550065,0,0
134049,21,21,0.268685,2.773280,0,0
134067,24,24,0.321168,2.802686,0,0
140006,15,15,0.276144,2.624697,0,0
140088,22,22,0.263273,2.868384,0,0
14085,15,15,0.157084,3.032497,0,0
14092,18,18,0.074756,3.385991,0,0
141012,4,4,0.041158,2.399737,0,0
141048,7,7,0.168745,2.754689,0,0
145059,31,31,0.408810,2.497798,0,0
145079,21,21,0.245552,3.041927,0,0
146074,38,38,0.247676,3.101301,0,0
147077,21,21,0.365100,2.417890,0,0
147080,28,28,0.335778,2.685939,0,0
15011,34,34,0.236275,2.946458,0,0
15062,16,16,0.450645,2.205449,0,0
156054,44,44,0.095624,3.952603,0,0
157032,12,12,0.118812,3.048134,0,0
