id, k, eigs, ri, voi
100007, 8, 2, 0.779952, 1.964929
100007, 8, 3, 0.781004, 1.949236
100007, 8, 4, 0.851165, 1.411223
100007, 8, 5, 0.861648, 1.498768
100007, 8, 6, 0.860974, 1.514586
100007, 8, 7, 0.791876, 1.844374
100007, 8, 8, 0.791806, 1.703107
100039, 11, 2, 0.786316, 2.738149
100039, 11, 4, 0.817986, 2.301584
100039, 11, 6, 0.820902, 2.049352
100039, 11, 8, 0.783244, 2.467734
100039, 11, 10, 0.787995, 2.340883
100039, 11, 11, 0.779491, 2.417226
100099, 6, 2, 0.717601, 2.587860
100099, 6, 3, 0.795468, 1.746796
100099, 6, 4, 0.776105, 1.860088
100099, 6, 5, 0.757621, 2.067504
100099, 6, 6, 0.733069, 1.944050
10081, 16, 2, 0.771349, 3.086618
10081, 16, 4, 0.807941, 2.526229
10081, 16, 6, 0.812327, 2.317313
10081, 16, 8, 0.810535, 2.350932
10081, 16, 10, 0.780528, 2.433335
10081, 16, 12, 0.773740, 2.462413
10081, 16, 14, 0.769521, 2.397747
10081, 16, 16, 0.769471, 2.444508
101027, 12, 2, 0.721083, 3.304981
101027, 12, 4, 0.767565, 2.379135
101027, 12, 6, 0.765806, 2.253684
101027, 12, 8, 0.756209, 2.308120
101027, 12, 10, 0.750996, 2.312811
101027, 12, 12, 0.742429, 2.186176
101084, 17, 2, 0.713034, 3.852034
101084, 17, 4, 0.738586, 3.241935
101084, 17, 6, 0.785863, 2.635406
101084, 17, 8, 0.809964, 2.561309
101084, 17, 10, 0.829866, 2.350088
101084, 17, 12, 0.817046, 2.342832
101084, 17, 14, 0.811766, 2.373966
101084, 17, 16, 0.739115, 2.760456
101084, 17, 17, 0.711095, 2.666683
102062, 37, 2, 0.584367, 5.319705
102062, 37, 6, 0.603081, 4.129852
102062, 37, 10, 0.601311, 4.053741
102062, 37, 14, 0.602522, 4.014826
102062, 37, 18, 0.599940, 3.930034
102062, 37, 22, 0.601265, 3.805579
102062, 37, 26, 0.587896, 3.802622
102062, 37, 30, 0.579600, 3.999137
102062, 37, 34, 0.576326, 3.977182
102062, 37, 37, 0.572142, 3.914713
103006, 7, 2, 0.675592, 2.969503
103006, 7, 3, 0.700351, 2.880153
103006, 7, 4, 0.703928, 2.664812
103006, 7, 5, 0.667628, 2.805985
103006, 7, 6, 0.655989, 2.832532
103006, 7, 7, 0.690815, 2.690830
103029, 9, 2, 0.605571, 3.176364
103029, 9, 3, 0.637504, 2.657094
103029, 9, 4, 0.652270, 2.541863
103029, 9, 5, 0.649789, 2.571739
103029, 9, 6, 0.647448, 2.574074
103029, 9, 7, 0.648275, 2.544950
103029, 9, 8, 0.670031, 2.271778
103029, 9, 9, 0.678247, 2.138203
103078, 13, 2, 0.775738, 2.984661
103078, 13, 4, 0.762371, 3.057886
103078, 13, 6, 0.766480, 2.579036
103078, 13, 8, 0.763656, 2.493825
103078, 13, 10, 0.718855, 2.571582
103078, 13, 12, 0.715303, 2.829042
103078, 13, 13, 0.767553, 2.420355
104010, 13, 2, 0.539105, 4.139944
104010, 13, 4, 0.540283, 3.839342
104010, 13, 6, 0.549088, 3.694882
104010, 13, 8, 0.561420, 3.574423
104010, 13, 10, 0.558856, 3.412944
104010, 13, 12, 0.552675, 3.378856
104010, 13, 13, 0.565252, 3.247769
104055, 16, 2, 0.709469, 3.239775
104055, 16, 4, 0.715766, 2.988238
104055, 16, 6, 0.715200, 2.805810
104055, 16, 8, 0.716392, 2.803394
104055, 16, 10, 0.716881, 2.747870
104055, 16, 12, 0.717785, 2.652706
104055, 16, 14, 0.702360, 2.763573
104055, 16, 16, 0.705239, 2.743818
105027, 5, 2, 0.447390, 2.541471
105027, 5, 3, 0.465492, 2.573595
105027, 5, 4, 0.438174, 2.793032
105027, 5, 5, 0.505934, 2.363145
106005, 7, 2, 0.676446, 2.482678
106005, 7, 3, 0.667790, 2.523243
106005, 7, 4, 0.713155, 1.808965
106005, 7, 5, 0.716834, 1.793285
106005, 7, 6, 0.703344, 1.972728
106005, 7, 7, 0.698042, 1.949080
106047, 4, 2, 0.434303, 2.574627
106047, 4, 3, 0.460070, 2.390066
106047, 4, 4, 0.508737, 2.148466
107014, 19, 2, 0.727996, 5.148051
107014, 19, 4, 0.758386, 3.736073
107014, 19, 6, 0.765984, 3.310971
107014, 19, 8, 0.772833, 3.111680
107014, 19, 10, 0.769591, 3.115595
107014, 19, 12, 0.766377, 3.184709
107014, 19, 14, 0.765138, 3.209592
107014, 19, 16, 0.764062, 3.255721
107014, 19, 18, 0.761816, 3.196752
107014, 19, 19, 0.767747, 3.080541
107045, 13, 2, 0.716294, 3.245681
107045, 13, 4, 0.702363, 3.253866
107045, 13, 6, 0.718268, 2.857117
107045, 13, 8, 0.722703, 2.807834
107045, 13, 10, 0.703662, 2.503499
107045, 13, 12, 0.702876, 2.789282
107045, 13, 13, 0.712182, 2.668786
107072, 19, 2, 0.672719, 4.456182
107072, 19, 4, 0.700895, 3.436452
107072, 19, 6, 0.701303, 3.337115
107072, 19, 8, 0.704396, 3.184578
107072, 19, 10, 0.709341, 3.056214
107072, 19, 12, 0.697105, 3.220348
107072, 19, 14, 0.696688, 3.051653
107072, 19, 16, 0.691566, 3.193270
107072, 19, 18, 0.689953, 3.034786
107072, 19, 19, 0.692110, 3.072763
108004, 5, 2, 0.387866, 2.734079
108004, 5, 3, 0.412774, 2.484345
108004, 5, 4, 0.457723, 2.173265
108004, 5, 5, 0.451208, 2.289599
108036, 14, 2, 0.724157, 3.996238
108036, 14, 4, 0.739672, 3.404307
108036, 14, 6, 0.747809, 3.138452
108036, 14, 8, 0.755184, 3.116134
108036, 14, 10, 0.729426, 3.189545
108036, 14, 12, 0.742952, 2.960784
108036, 14, 14, 0.737121, 2.971964
108069, 3, 2, 0.517055, 2.233119
108069, 3, 3, 0.556252, 1.701869
109055, 3, 2, 0.570343, 2.388580
109055, 3, 3, 0.560476, 2.192210
112056, 4, 2, 0.606031, 2.054987
112056, 4, 3, 0.620827, 2.029768
112056, 4, 4, 0.770849, 1.107657
112090, 25, 2, 0.845396, 4.310893
112090, 25, 5, 0.853658, 3.646210
112090, 25, 8, 0.854857, 3.482373
112090, 25, 11, 0.857184, 3.294880
112090, 25, 14, 0.849446, 3.153369
112090, 25, 17, 0.840076, 3.346600
112090, 25, 20, 0.847689, 3.273770
112090, 25, 23, 0.836530, 3.277399
112090, 25, 25, 0.827453, 3.354942
117025, 20, 2, 0.735190, 3.170477
117025, 20, 4, 0.742411, 2.790951
117025, 20, 6, 0.741887, 2.732320
117025, 20, 8, 0.739146, 2.707308
117025, 20, 10, 0.746056, 2.516796
117025, 20, 12, 0.740263, 2.590900
117025, 20, 14, 0.737107, 2.604677
117025, 20, 16, 0.730738, 2.670897
117025, 20, 18, 0.725629, 2.626479
117025, 20, 20, 0.726739, 2.599798
118015, 37, 2, 0.800281, 4.600204
118015, 37, 6, 0.840501, 2.946221
118015, 37, 10, 0.845869, 2.664955
118015, 37, 14, 0.818307, 2.952996
118015, 37, 18, 0.843926, 2.685577
118015, 37, 22, 0.796045, 3.175192
118015, 37, 26, 0.790852, 3.069104
118015, 37, 30, 0.787003, 3.121878
118015, 37, 34, 0.789523, 3.032779
118015, 37, 37, 0.765580, 3.107403
118031, 23, 2, 0.811650, 3.810540
118031, 23, 5, 0.826818, 3.208069
118031, 23, 8, 0.819850, 3.286887
118031, 23, 11, 0.820959, 3.076481
118031, 23, 14, 0.813294, 3.093327
118031, 23, 17, 0.810812, 2.920206
118031, 23, 20, 0.806480, 3.128439
118031, 23, 23, 0.809890, 2.946299
118072, 15, 2, 0.704136, 4.167313
118072, 15, 4, 0.716319, 3.444563
118072, 15, 6, 0.726193, 3.143556
118072, 15, 8, 0.738160, 2.987231
118072, 15, 10, 0.743741, 2.912931
118072, 15, 12, 0.739989, 2.920083
118072, 15, 14, 0.720414, 2.963618
118072, 15, 15, 0.717343, 2.756646
120003, 29, 2, 0.874566, 4.179291
120003, 29, 5, 0.885228, 3.388550
120003, 29, 8, 0.893033, 2.957968
120003, 29, 11, 0.887089, 2.933647
120003, 29, 14, 0.884661, 2.814553
120003, 29, 17, 0.883270, 2.800587
120003, 29, 20, 0.884553, 2.682698
120003, 29, 23, 0.874748, 2.840035
120003, 29, 26, 0.879923, 2.708383
120003, 29, 29, 0.852891, 2.896472
120093, 36, 2, 0.775106, 4.658772
120093, 36, 6, 0.775386, 3.515501
120093, 36, 10, 0.784593, 3.379637
120093, 36, 14, 0.782149, 3.328716
120093, 36, 18, 0.794371, 3.058370
120093, 36, 22, 0.780692, 3.118484
120093, 36, 26, 0.775660, 3.062433
120093, 36, 30, 0.781992, 2.965982
120093, 36, 34, 0.773312, 3.092018
120093, 36, 36, 0.766672, 3.149488
123057, 15, 2, 0.791825, 4.028482
123057, 15, 4, 0.837459, 2.826482
123057, 15, 6, 0.836636, 2.756145
123057, 15, 8, 0.852425, 2.374398
123057, 15, 10, 0.837666, 2.671866
123057, 15, 12, 0.827468, 2.633916
123057, 15, 14, 0.820049, 2.677306
123057, 15, 15, 0.823330, 2.656829
128035, 43, 2, 0.874105, 4.989661
128035, 43, 7, 0.885337, 3.414159
128035, 43, 12, 0.888744, 3.071427
128035, 43, 17, 0.890347, 2.984076
128035, 43, 22, 0.886616, 2.938363
128035, 43, 27, 0.875082, 2.984157
128035, 43, 32, 0.873622, 3.029361
128035, 43, 37, 0.859430, 3.096530
128035, 43, 42, 0.854486, 3.067422
128035, 43, 43, 0.851690, 3.135920
130014, 7, 2, 0.643969, 2.732593
130014, 7, 3, 0.657572, 2.433530
130014, 7, 4, 0.645764, 2.617375
130014, 7, 5, 0.633930, 2.356040
130014, 7, 6, 0.627705, 2.536827
130014, 7, 7, 0.631472, 2.391201
130066, 11, 2, 0.719617, 3.504098
130066, 11, 4, 0.752308, 2.620551
130066, 11, 6, 0.769126, 2.445363
130066, 11, 8, 0.758746, 2.383685
130066, 11, 10, 0.752978, 2.449932
130066, 11, 11, 0.765396, 2.271861
134049, 21, 2, 0.780132, 4.513369
134049, 21, 5, 0.793515, 3.729819
134049, 21, 8, 0.798047, 3.385495
134049, 21, 11, 0.787188, 3.210172
134049, 21, 14, 0.791773, 3.113884
134049, 21, 17, 0.753286, 3.529500
134049, 21, 20, 0.736847, 3.295997
134049, 21, 21, 0.729553, 3.349817
134067, 24, 2, 0.827040, 4.109389
134067, 24, 5, 0.834691, 3.324657
134067, 24, 8, 0.835833, 3.292500
134067, 24, 11, 0.830113, 3.107233
134067, 24, 14, 0.813158, 3.122356
134067, 24, 17, 0.775813, 3.296782
134067, 24, 20, 0.780502, 3.134408
134067, 24, 23, 0.716110, 3.248844
134067, 24, 24, 0.734375, 3.128765
140006, 15, 2, 0.842298, 3.644320
140006, 15, 4, 0.914006, 2.324007
140006, 15, 6, 0.928645, 1.996529
140006, 15, 8, 0.927845, 1.909305
140006, 15, 10, 0.915467, 2.059840
140006, 15, 12, 0.829677, 2.088910
140006, 15, 14, 0.906570, 1.855393
140006, 15, 15, 0.795183, 2.295717
140088, 22, 2, 0.829824, 3.872171
140088, 22, 5, 0.853753, 2.886013
140088, 22, 8, 0.850458, 2.535262
140088, 22, 11, 0.851287, 2.575798
140088, 22, 14, 0.825971, 2.765380
140088, 22, 17, 0.836786, 2.654344
140088, 22, 20, 0.836557, 2.559134
140088, 22, 22, 0.830108, 2.599240
14085, 15, 2, 0.619513, 3.976083
14085, 15, 4, 0.616539, 3.673410
14085, 15, 6, 0.632735, 3.188333
14085, 15, 8, 0.642935, 3.015268
14085, 15, 10, 0.628008, 2.993544
14085, 15, 12, 0.615589, 3.171236
14085, 15, 14, 0.615362, 3.209886
14085, 15, 15, 0.607919, 3.129226
14092, 18, 2, 0.454898, 3.806834
14092, 18, 4, 0.458518, 3.645839
14092, 18, 6, 0.466243, 3.382394
14092, 18, 8, 0.485596, 3.129542
14092, 18, 10, 0.506330, 2.855108
14092, 18, 12, 0.494845, 3.036325
14092, 18, 14, 0.483216, 3.161770
14092, 18, 16, 0.478901, 3.236005
14092, 18, 18, 0.496860, 2.946990
141012, 4, 2, 0.514853, 2.191831
141012, 4, 3, 0.507494, 2.466269
141012, 4, 4, 0.521613, 2.316686
141048, 7, 2, 0.625899, 2.564574
141048, 7, 3, 0.606900, 2.699303
141048, 7, 4, 0.607949, 2.694596
141048, 7, 5, 0.617307, 2.517531
141048, 7, 6, 0.637164, 2.246150
141048, 7, 7, 0.605123, 2.510250
145059, 31, 2, 0.847661, 4.685283
145059, 31, 6, 0.866067, 3.500314
145059, 31, 10, 0.859444, 3.293060
145059, 31, 14, 0.863761, 3.254957
145059, 31, 18, 0.856088, 3.224348
145059, 31, 22, 0.843036, 3.023948
145059, 31, 26, 0.831508, 3.045152
145059, 31, 30, 0.812270, 3.136276
145059, 31, 31, 0.818921, 3.173622
145079, 21, 2, 0.766254, 3.866511
145079, 21, 5, 0.787845, 2.993494
145079, 21, 8, 0.776382, 3.159343
145079, 21, 11, 0.783080, 2.892586
145079, 21, 14, 0.750957, 3.099935
145079, 21, 17, 0.733261, 3.093547
145079, 21, 20, 0.720870, 3.020638
145079, 21, 21, 0.719584, 3.030174
146074, 38, 2, 0.879822, 4.614586
146074, 38, 6, 0.891117, 3.476669
146074, 38, 10, 0.889079, 3.069318
146074, 38, 14, 0.886816, 2.882505
146074, 38, 18, 0.887667, 2.690163
146074, 38, 22, 0.900494, 2.615530
146074, 38, 26, 0.897185, 2.580711
146074, 38, 30, 0.895577, 2.604622
146074, 38, 34, 0.888203, 2.581728
146074, 38, 38, 0.885100, 2.629594
147077, 21, 2, 0.838845, 4.385450
147077, 21, 5, 0.850101, 3.380569
147077, 21, 8, 0.849982, 3.097130
147077, 21, 11, 0.848996, 3.063972
147077, 21, 14, 0.832309, 2.970920
147077, 21, 17, 0.833255, 2.993600
147077, 21, 20, 0.791337, 3.152240
147077, 21, 21, 0.802907, 3.080709
147080, 28, 2, 0.853521, 3.821167
147080, 28, 5, 0.858745, 3.140829
147080, 28, 8, 0.860294, 3.098452
147080, 28, 11, 0.850303, 3.017841
147080, 28, 14, 0.855386, 2.977984
147080, 28, 17, 0.852835, 3.017207
147080, 28, 20, 0.849506, 2.950361
147080, 28, 23, 0.823270, 3.018212
147080, 28, 26, 0.810497, 3.035245
147080, 28, 28, 0.794338, 3.154186
15011, 34, 2, 0.864061, 4.470163
15011, 34, 6, 0.868531, 3.417368
15011, 34, 10, 0.876403, 3.405576
15011, 34, 14, 0.882261, 3.040360
15011, 34, 18, 0.872007, 3.113220
15011, 34, 22, 0.870035, 3.076099
15011, 34, 26, 0.866720, 3.010060
15011, 34, 30, 0.858846, 2.918245
15011, 34, 34, 0.842586, 3.016475
15062, 16, 2, 0.817773, 3.481467
15062, 16, 4, 0.838542, 2.693995
15062, 16, 6, 0.855759, 2.507258
15062, 16, 8, 0.862196, 2.255553
15062, 16, 10, 0.863379, 2.233242
15062, 16, 12, 0.861144, 2.215558
15062, 16, 14, 0.820268, 2.476804
15062, 16, 16, 0.812914, 2.374222
156054, 44, 2, 0.649317, 4.642697
156054, 44, 7, 0.663741, 3.765616
156054, 44, 12, 0.655430, 3.898319
156054, 44, 17, 0.657120, 3.829962
156054, 44, 22, 0.657560, 3.763361
156054, 44, 27, 0.653520, 3.814748
156054, 44, 32, 0.652060, 3.799824
156054, 44, 37, 0.647994, 3.838301
156054, 44, 42, 0.648367, 3.791074
156054, 44, 44, 0.652424, 3.726128
157032, 12, 2, 0.781348, 2.874229
157032, 12, 4, 0.740015, 2.884333
157032, 12, 6, 0.818869, 1.972079
157032, 12, 8, 0.783294, 2.162354
157032, 12, 10, 0.771978, 2.207909
157032, 12, 12, 0.737280, 2.398653
157087, 28, 2, 0.859614, 4.810494
157087, 28, 5, 0.874794, 3.727174
157087, 28, 8, 0.873786, 3.716410
157087, 28, 11, 0.868479, 3.066923
157087, 28, 14, 0.872948, 3.147011
157087, 28, 17, 0.866231, 3.010179
157087, 28, 20, 0.851668, 2.961690
157087, 28, 23, 0.841203, 2.920481
157087, 28, 26, 0.814383, 3.033501
157087, 28, 28, 0.820790, 3.089376
159002, 19, 2, 0.686323, 4.139672
159002, 19, 4, 0.697327, 3.539747
159002, 19, 6, 0.714086, 3.267475
159002, 19, 8, 0.707778, 3.309924
159002, 19, 10, 0.711525, 3.009646
159002, 19, 12, 0.707963, 3.005195
159002, 19, 14, 0.708963, 2.946501
159002, 19, 16, 0.694911, 3.105632
159002, 19, 18, 0.677041, 3.137535
159002, 19, 19, 0.676364, 2.975197
159022, 7, 2, 0.557909, 2.609078
159022, 7, 3, 0.610146, 2.174774
159022, 7, 4, 0.564008, 2.344238
159022, 7, 5, 0.597302, 2.155257
159022, 7, 6, 0.577135, 2.240666
159022, 7, 7, 0.569920, 2.381959
160006, 18, 2, 0.805191, 3.810003
160006, 18, 4, 0.823625, 3.147260
160006, 18, 6, 0.833018, 2.829277
160006, 18, 8, 0.834183, 2.706826
160006, 18, 10, 0.829733, 2.701817
160006, 18, 12, 0.821815, 2.541180
160006, 18, 14, 0.792232, 2.791592
160006, 18, 16, 0.781746, 2.841327
160006, 18, 18, 0.774376, 2.814466
16004, 36, 2, 0.881162, 4.475636
16004, 36, 6, 0.899157, 3.219471
16004, 36, 10, 0.898829, 3.147040
16004, 36, 14, 0.897285, 3.039342
16004, 36, 18, 0.891774, 2.908149
16004, 36, 22, 0.887253, 2.928679
16004, 36, 26, 0.879619, 2.989102
16004, 36, 30, 0.861611, 3.077298
16004, 36, 34, 0.822725, 3.170250
16004, 36, 36, 0.825637, 3.188573
160067, 7, 2, 0.665737, 2.681284
160067, 7, 3, 0.680380, 2.281500
160067, 7, 4, 0.689647, 2.166926
160067, 7, 5, 0.722274, 2.250737
160067, 7, 6, 0.668854, 2.472277
160067, 7, 7, 0.709375, 2.067463
16068, 8, 2, 0.748335, 2.887509
16068, 8, 3, 0.763849, 2.516045
16068, 8, 4, 0.754226, 2.647237
16068, 8, 5, 0.720510, 2.728356
16068, 8, 6, 0.714261, 2.627082
16068, 8, 7, 0.699606, 2.664535
16068, 8, 8, 0.666226, 2.621625
161045, 9, 2, 0.846906, 2.703352
161045, 9, 3, 0.821785, 2.053899
161045, 9, 4, 0.789869, 2.198274
161045, 9, 5, 0.789489, 2.164138
161045, 9, 6, 0.829967, 1.834588
161045, 9, 7, 0.830719, 1.827335
161045, 9, 8, 0.838395, 1.664271
161045, 9, 9, 0.792388, 1.957190
163004, 21, 2, 0.811027, 4.182157
163004, 21, 5, 0.842275, 2.996829
163004, 21, 8, 0.839063, 2.854694
163004, 21, 11, 0.827310, 2.940657
163004, 21, 14, 0.814852, 2.861761
163004, 21, 17, 0.801521, 2.893367
163004, 21, 20, 0.782900, 3.005204
163004, 21, 21, 0.782958, 3.049711
163096, 16, 2, 0.749126, 3.774363
163096, 16, 4, 0.770725, 3.002809
163096, 16, 6, 0.791540, 2.768982
163096, 16, 8, 0.784325, 2.521051
163096, 16, 10, 0.808548, 2.357886
163096, 16, 12, 0.804014, 2.378386
163096, 16, 14, 0.806726, 2.244870
163096, 16, 16, 0.771139, 2.493849
164046, 5, 2, 0.543401, 2.380842
164046, 5, 3, 0.571191, 1.927041
164046, 5, 4, 0.602363, 1.835643
164046, 5, 5, 0.576674, 2.083039
168084, 14, 2, 0.798951, 3.671426
168084, 14, 4, 0.834895, 2.647106
168084, 14, 6, 0.841569, 2.378908
168084, 14, 8, 0.843779, 2.224267
168084, 14, 10, 0.828786, 2.254826
168084, 14, 12, 0.815500, 2.378531
168084, 14, 14, 0.810069, 2.394326
17067, 17, 2, 0.843462, 4.007359
17067, 17, 4, 0.875756, 2.900814
17067, 17, 6, 0.876475, 2.790516
17067, 17, 8, 0.879293, 2.565915
17067, 17, 10, 0.878428, 2.580539
17067, 17, 12, 0.880338, 2.552490
17067, 17, 14, 0.876335, 2.504411
17067, 17, 16, 0.874309, 2.465910
17067, 17, 17, 0.874413, 2.482435
175083, 8, 2, 0.641411, 3.557397
175083, 8, 3, 0.644660, 3.362500
175083, 8, 4, 0.643435, 3.087761
175083, 8, 5, 0.656841, 3.105426
175083, 8, 6, 0.667801, 2.699394
175083, 8, 7, 0.666695, 2.695169
175083, 8, 8, 0.656593, 2.662973
176039, 6, 2, 0.801877, 1.799673
176039, 6, 3, 0.832829, 1.329181
176039, 6, 4, 0.828108, 1.417448
176039, 6, 5, 0.812438, 1.520579
176039, 6, 6, 0.778515, 1.577197
176051, 5, 2, 0.749245, 2.153557
176051, 5, 3, 0.726275, 1.948744
176051, 5, 4, 0.757827, 1.954676
176051, 5, 5, 0.763979, 1.634056
179084, 19, 2, 0.798318, 2.959777
179084, 19, 4, 0.808300, 2.704397
179084, 19, 6, 0.815584, 2.598270
179084, 19, 8, 0.843333, 2.307979
179084, 19, 10, 0.850660, 2.193882
179084, 19, 12, 0.826988, 2.206650
179084, 19, 14, 0.847214, 2.089031
179084, 19, 16, 0.818721, 2.227733
179084, 19, 18, 0.808083, 2.379386
179084, 19, 19, 0.812981, 2.368896
181021, 22, 2, 0.460801, 4.841937
181021, 22, 5, 0.487615, 3.801154
181021, 22, 8, 0.493422, 3.637946
181021, 22, 11, 0.510921, 3.236770
181021, 22, 14, 0.487036, 3.511482
181021, 22, 17, 0.503164, 3.186647
181021, 22, 20, 0.501705, 3.103357
181021, 22, 22, 0.525607, 2.980717
183066, 8, 2, 0.653015, 3.100005
183066, 8, 3, 0.662986, 2.820669
183066, 8, 4, 0.668471, 2.476548
183066, 8, 5, 0.697998, 2.415655
183066, 8, 6, 0.673719, 2.341631
183066, 8, 7, 0.685445, 2.228449
183066, 8, 8, 0.628672, 2.253396
185092, 20, 2, 0.752285, 3.289583
185092, 20, 4, 0.790930, 2.444716
185092, 20, 6, 0.790631, 2.536288
185092, 20, 8, 0.763174, 2.647939
