2025-05-27 18:38:10,129 - INFO - experiments.py:190 - run_sbm_experiment() - Running experiment with SBM data.
2025-05-27 18:38:10,201 - INFO - experiments.py:226 - run_sbm_experiment() - All sub-processes started for sbm experiments.
2025-05-27 18:38:15,848 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.003)...
2025-05-27 18:38:15,850 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.003) graph from sbm...
2025-05-27 18:38:15,864 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.009000000000000001)...
2025-05-27 18:38:15,865 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.009000000000000001) graph from sbm...
2025-05-27 18:38:15,981 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.006)...
2025-05-27 18:38:15,982 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.006) graph from sbm...
2025-05-27 18:38:16,002 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.005)...
2025-05-27 18:38:16,002 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.005) graph from sbm...
2025-05-27 18:38:16,006 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.01)...
2025-05-27 18:38:16,006 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.01) graph from sbm...
2025-05-27 18:38:16,061 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.007)...
2025-05-27 18:38:16,062 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.007) graph from sbm...
2025-05-27 18:38:16,064 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.008)...
2025-05-27 18:38:16,065 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.008) graph from sbm...
2025-05-27 18:38:16,073 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.004)...
2025-05-27 18:38:16,074 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.004) graph from sbm...
2025-05-27 18:38:16,093 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.001)...
2025-05-27 18:38:16,095 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.001) graph from sbm...
2025-05-27 18:38:16,099 - INFO - datasets.py:315 - load_gt_clusters() - Loading GT clusters for sbmCycle(10, 1000, 0.01, 0.002)...
2025-05-27 18:38:16,099 - INFO - datasets.py:310 - load_graph() - Generating sbmCycle(10, 1000, 0.01, 0.002) graph from sbm...
2025-05-27 18:38:16,102 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.003), run number 0
2025-05-27 18:38:16,244 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0
2025-05-27 18:38:16,272 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.001), run number 0
2025-05-27 18:38:16,278 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.005), run number 0
2025-05-27 18:38:16,316 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.006), run number 0
2025-05-27 18:38:16,321 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.002), run number 0
2025-05-27 18:38:16,382 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.004), run number 0
2025-05-27 18:38:16,423 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.008), run number 0
2025-05-27 18:38:16,433 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.007), run number 0
2025-05-27 18:38:16,482 - INFO - experiments.py:165 - run() - Starting experiment: sbmCycle(10, 1000, 0.01, 0.01), run number 0
2025-05-27 18:38:17,009 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.002), run number 0 with 1 eigenvectors.
2025-05-27 18:38:17,125 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.003), run number 0 with 1 eigenvectors.
2025-05-27 18:38:17,320 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.009000000000000001), run number 0 with 1 eigenvectors.
2025-05-27 18:38:17,522 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.001), run number 0 with 1 eigenvectors.
2025-05-27 18:38:18,094 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.005), run number 0 with 1 eigenvectors.
2025-05-27 18:38:18,487 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.006), run number 0 with 1 eigenvectors.
2025-05-27 18:38:18,547 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.007), run number 0 with 1 eigenvectors.
2025-05-27 18:38:18,668 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.004), run number 0 with 1 eigenvectors.
2025-05-27 18:38:18,762 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.01), run number 0 with 1 eigenvectors.
2025-05-27 18:38:19,153 - INFO - experiments.py:173 - run() - Finished clustering: sbmCycle(10, 1000, 0.01, 0.008), run number 0 with 1 eigenvectors.
